timestamp,open,high,low,close,volume
2023-12-28,41.87,141.99,39.3,40.27,280.01
2023-12-29,39.62,59.86,32.05,39.9,173.76
2023-12-30,40.39,40.39,36.01,39.12,439.64
2023-12-31,39.32,52.0,32.22,38.56,787.65
2024-01-01,38.72,44.54,37.13,41.8,446.43
2024-01-02,42.38,43.68,35.16,40.51,1729.65
2024-01-03,40.59,41.94,30.04,36.9,3059.95
2024-01-04,36.98,39.81,36.3,38.74,1160.62
2024-01-05,38.65,38.65,35.17,36.33,855.56
2024-01-06,36.33,36.33,33.29,33.72,375.79
2024-01-07,35.35,35.7,33.4,33.4,317.09
2024-01-08,33.91,36.38,31.2,36.03,3027.02
2024-01-09,36.29,37.56,33.74,34.58,7165.76
2024-01-10,34.81,39.51,33.51,38.48,4790.94
2024-01-11,38.58,41.73,37.55,39.28,9251.91
2024-01-12,39.37,39.5,34.49,35.81,7026.36
2024-01-13,35.81,36.56,34.81,36.41,1500.28
2024-01-14,36.51,37.77,35.34,35.35,2723.14
2024-01-15,35.35,36.63,35.16,35.66,1274.31
2024-01-16,35.73,36.38,34.81,35.56,13965.37
2024-01-17,35.59,36.48,35.23,36.03,39974.99
2024-01-18,36.06,36.1,32.68,33.52,51404.91
2024-01-19,33.56,33.7,31.16,32.7,56616.79
2024-01-20,32.68,32.95,32.02,32.86,38304.42
2024-01-21,32.84,34.01,32.45,32.52,36715.96
2024-01-22,32.47,32.71,29.31,29.49,77057.25
2024-01-23,29.46,30.69,27.21,30.61,85038.13
2024-01-24,30.65,31.87,29.43,31.16,104795.38
2024-01-25,31.16,31.34,29.62,30.49,48950.99
2024-01-26,30.49,33.08,30.12,32.26,56607.66
2024-01-27,32.28,33.31,31.85,33.28,37419.28
2024-01-28,33.3,36.74,33.27,34.81,115278.71
2024-01-29,34.83,36.51,34.38,36.06,84769.04
2024-01-30,36.08,37.13,35.01,35.2,71128.31
2024-01-31,35.24,35.48,33.12,33.13,70965.26
2024-02-01,33.14,33.93,32.15,33.81,62626.83
2024-02-02,33.88,36.91,33.76,36.74,83219.6
2024-02-03,36.81,37.57,35.4,35.92,46659.31
2024-02-04,35.94,36.49,34.67,34.82,34196.7
2024-02-05,34.84,35.87,34.1,34.5,42497.46
2024-02-06,34.5,34.69,33.68,34.17,37525.56
2024-02-07,34.12,35.48,33.62,35.28,45198.44
2024-02-08,35.29,36.12,35.09,35.43,31924.45
2024-02-09,35.43,38.64,35.43,38.0,62526.2
2024-02-10,38.07,41.22,38.06,40.22,72946.32
2024-02-11,40.21,41.19,39.32,39.73,43357.4
2024-02-12,39.73,41.14,38.41,41.07,72000.46
2024-02-13,40.99,41.67,38.31,39.75,75295.2
2024-02-14,39.75,198.0,39.15,42.18,75985.69
2024-02-15,42.27,43.6,40.97,41.6,81659.19
2024-02-16,41.58,41.82,39.39,40.28,44700.93
2024-02-17,40.27,40.47,38.42,39.76,41287.08
2024-02-18,39.77,40.73,39.01,40.31,49798.23
2024-02-19,40.29,40.63,39.1,39.5,64895.01
2024-02-20,39.58,39.72,36.92,38.5,81115.0
2024-02-21,38.51,38.54,35.97,37.66,85674.18
2024-02-22,37.62,38.2,36.52,36.76,69396.01
2024-02-23,36.75,36.93,35.18,35.89,81584.08
2024-02-24,35.9,36.93,35.2,36.72,50940.6
2024-02-25,36.75,37.48,36.43,37.47,48024.87
2024-02-26,37.46,39.38,36.3,39.33,75352.86
2024-02-27,39.32,39.97,38.35,39.29,58026.46
2024-02-28,39.27,41.24,36.48,40.39,115073.89
2024-02-29,40.36,44.66,39.67,40.99,150917.06
2024-03-01,40.99,43.36,40.99,42.9,86589.7
2024-03-02,42.73,44.6,42.01,44.4,102716.42
2024-03-03,44.37,44.91,40.53,42.62,72274.15
2024-03-04,42.61,44.02,41.46,43.14,155977.19
2024-03-05,43.17,45.18,34.35,39.41,217340.36
2024-03-06,39.47,42.15,37.94,41.56,167847.14
2024-03-07,41.58,44.55,41.35,43.27,135273.6
2024-03-08,43.28,44.03,41.15,42.73,83039.84
2024-03-09,42.75,43.63,42.43,43.0,52940.06
2024-03-10,43.0,44.0,40.99,42.08,61802.8
2024-03-11,42.07,49.57,40.12,49.1,277384.41
2024-03-12,49.1,57.35,46.42,55.49,372358.78
2024-03-13,55.47,55.52,52.27,54.82,190784.77
2024-03-14,54.84,59.28,50.54,53.94,260858.15
2024-03-15,53.97,59.01,48.33,58.33,288778.7
2024-03-16,58.34,61.42,51.98,53.41,226675.59
2024-03-17,53.4,58.43,50.02,58.39,178699.19
2024-03-18,58.38,65.35,55.24,60.68,302310.74
2024-03-19,60.64,61.91,53.2,53.61,271829.97
2024-03-20,53.58,58.13,50.44,57.1,236231.75
2024-03-21,57.03,57.86,52.77,53.8,187937.45
2024-03-22,53.74,57.78,51.64,53.45,269966.88
2024-03-23,53.46,55.98,52.62,53.46,157951.57
2024-03-24,53.37,55.83,52.44,55.66,130507.89
2024-03-25,55.7,59.21,54.94,57.81,179100.63
2024-03-26,57.76,59.31,55.37,55.78,160372.87
2024-03-27,55.79,56.72,53.0,54.06,120993.7
2024-03-28,54.06,55.01,53.17,54.61,74407.21
2024-03-29,54.63,54.66,52.56,53.36,74154.95
2024-03-30,53.36,54.66,52.81,52.96,68474.63
2024-03-31,52.96,54.26,52.91,54.07,62388.34
2024-04-01,54.06,54.13,50.26,51.4,134749.96
2024-04-02,51.4,51.4,46.29,46.86,145189.25
2024-04-03,46.87,48.33,45.01,45.89,127219.39
2024-04-04,45.9,48.18,45.45,46.53,101532.01
2024-04-05,46.47,46.61,44.01,45.33,74678.2
2024-04-06,45.3,48.88,45.1,48.16,131777.74
2024-04-07,48.18,49.48,47.91,49.32,67714.71
2024-04-08,49.32,50.78,48.27,49.89,110444.94
2024-04-09,49.84,49.96,46.33,46.45,98521.13
2024-04-10,46.42,47.99,44.99,47.3,151015.15
2024-04-11,47.29,47.49,45.61,46.03,94241.42
2024-04-12,46.02,46.88,34.71,39.39,204364.53
2024-04-13,39.36,39.36,28.8,33.94,536197.29
2024-04-14,33.95,37.92,32.67,37.33,853703.15
2024-04-15,37.32,38.64,34.04,35.16,567950.82
2024-04-16,35.14,35.91,32.72,34.79,432552.28
2024-04-17,34.75,35.36,32.24,33.58,341533.77
2024-04-18,33.58,35.64,32.81,34.86,334093.97
2024-04-19,34.82,36.13,31.96,34.69,330372.43
2024-04-20,34.67,38.49,34.15,38.32,217880.91
