timestamp,open,high,low,close,volume
2022-06-01,7.59,7.77,6.75,6.93,6436515.03
2022-06-02,6.93,7.25,6.81,7.19,3846549.94
2022-06-03,7.19,7.22,6.69,6.85,3738907.2
2022-06-04,6.86,7.44,6.68,7.4,3007035.99
2022-06-05,7.41,7.89,7.25,7.64,5204882.16
2022-06-06,7.64,8.2,7.62,7.97,6805688.94
2022-06-07,7.98,9.0,7.31,8.71,11449915.03
2022-06-08,8.72,9.0,8.23,8.7,12751229.89
2022-06-09,8.71,9.64,8.49,9.27,12151419.13
2022-06-10,9.27,9.54,8.0,8.04,12553253.98
2022-06-11,8.04,8.42,6.94,7.04,12079552.59
2022-06-12,7.04,7.14,6.25,6.27,10758386.83
2022-06-13,6.26,6.35,5.3,5.93,23703953.67
2022-06-14,5.92,6.88,5.39,6.74,22195143.72
2022-06-15,6.73,7.38,5.83,7.33,28804901.14
2022-06-16,7.33,7.51,6.2,6.36,16785768.12
2022-06-17,6.36,6.74,6.26,6.36,8044145.27
2022-06-18,6.36,6.47,5.41,5.92,15948947.65
2022-06-19,5.92,6.82,5.83,6.6,9867779.28
2022-06-20,6.6,7.29,6.31,6.98,10165932.01
2022-06-21,6.98,7.57,6.75,6.86,9463662.53
2022-06-22,6.86,7.03,6.44,6.63,8513601.16
2022-06-23,6.62,7.09,6.61,6.99,6672460.2
2022-06-24,6.99,7.44,6.95,7.26,6466777.49
2022-06-25,7.27,7.38,6.79,7.26,5651119.11
2022-06-26,7.27,7.49,6.68,6.7,5600782.15
2022-06-27,6.7,6.99,6.41,6.55,6501336.11
2022-06-28,6.56,7.26,6.27,6.32,10657624.7
2022-06-29,6.32,6.49,6.13,6.23,6958633.85
2022-06-30,6.23,6.32,5.88,6.27,6704771.13
2022-07-01,6.27,6.43,5.93,6.08,6544501.16
2022-07-02,6.07,6.29,5.98,6.22,2769828.44
2022-07-03,6.23,6.25,6.01,6.22,2777067.0
2022-07-04,6.22,6.46,6.02,6.43,4520606.05
2022-07-05,6.43,6.56,6.06,6.31,5814668.1
