timestamp,open,high,low,close,volume
2025-04-11,0.7057,0.9888,0.7057,0.8937,1836225.3
2025-04-12,0.8935,0.9335,0.864,0.9049,2018547.3
2025-04-13,0.9053,0.9272,0.8384,0.8477,1974809.9
2025-04-14,0.8479,0.9133,0.8457,0.8764,1332853.7
2025-04-15,0.8761,0.9091,0.8282,0.8319,1432030.5
2025-04-16,0.8316,0.8522,0.802,0.8212,1551149.0
2025-04-17,0.8199,0.8509,0.8177,0.829,617199.4
2025-04-18,0.8296,0.8398,0.8222,0.8304,275357.6
2025-04-19,0.8305,0.8584,0.8285,0.8557,391778.9
2025-04-20,0.8547,0.8659,0.8201,0.838,553814.6
2025-04-21,0.8374,0.891,0.836,0.8476,877854.7
2025-04-22,0.8512,0.9226,0.8374,0.9169,1172894.0
2025-04-23,0.9169,0.954,0.9021,0.9157,1972444.0
2025-04-24,0.9156,1.1,0.8669,0.9782,3692487.9
2025-04-25,0.9795,1.038,0.944,0.99,2760525.4
2025-04-26,0.9904,1.0483,0.9838,0.9946,2465372.4
2025-04-27,0.9952,1.0081,0.9374,0.944,1967919.4
2025-04-28,0.9457,0.9973,0.9154,0.9737,3447337.2
2025-04-29,0.9743,0.9899,0.919,0.9303,1733656.0
2025-04-30,0.9304,0.9433,0.8755,0.9083,2000029.4
2025-05-01,0.9078,0.9361,0.9033,0.9137,2342062.7
2025-05-02,0.9146,0.9277,0.8914,0.9224,2017030.7
2025-05-03,0.9226,0.9226,0.8683,0.875,1001001.0
2025-05-04,0.8749,0.8876,0.851,0.8579,900110.1
2025-05-05,0.8582,0.8928,0.8509,0.8676,1908068.6
2025-05-06,0.8684,0.8707,0.8288,0.8675,1303623.4
2025-05-07,0.8676,0.8829,0.8468,0.8722,2658003.3
2025-05-08,0.8731,0.9844,0.8716,0.9753,5268998.2
2025-05-09,0.9752,1.0618,0.9644,1.0062,5299462.7
2025-05-10,1.0049,1.1079,0.9932,1.1026,4240496.4
2025-05-11,1.1027,1.1103,1.007,1.0381,2625591.2
2025-05-12,1.0394,1.1105,0.9735,1.0297,4383428.4
2025-05-13,1.0293,1.0782,0.9724,1.0445,3713265.3
2025-05-14,1.0443,1.141,0.9911,1.0088,5571142.8
2025-05-15,1.0087,1.0321,0.9471,0.9683,4082935.3
2025-05-16,0.9686,0.9988,0.9294,0.9378,2612183.5
2025-05-17,0.9379,0.9395,0.9026,0.9151,2632291.0
2025-05-18,0.9152,0.9801,0.8916,0.9595,3448074.2
2025-05-19,0.9604,0.9713,0.8822,0.9274,3511819.6
2025-05-20,0.9276,0.9607,0.915,0.9442,2830664.7
2025-05-21,0.9444,0.9987,0.9312,0.9755,2916390.0
2025-05-22,0.9756,1.0264,0.9742,1.0199,3992596.1
2025-05-23,1.0201,1.0516,0.9248,0.9336,4813999.1
2025-05-24,0.9337,0.9661,0.928,0.94,2169561.2
2025-05-25,0.9402,0.955,0.9042,0.9513,1785263.3
2025-05-26,0.9513,0.9737,0.9301,0.9405,2476698.5
2025-05-27,0.9406,0.9712,0.916,0.949,1869068.5
2025-05-28,0.9487,0.9633,0.9074,0.9338,1862384.2
2025-05-29,0.934,0.9575,0.8946,0.9004,1934522.5
2025-05-30,0.9002,0.905,0.8079,0.8183,2733015.5
2025-05-31,0.8185,0.8533,0.7844,0.8318,2190180.2
2025-06-01,0.8323,0.8482,0.8074,0.8447,1243118.5
2025-06-02,0.8449,0.8557,0.819,0.8506,1463844.2
2025-06-03,0.851,0.87,0.841,0.851,1737159.0
2025-06-04,0.8508,0.8617,0.8257,0.8316,1603281.7
2025-06-05,0.8316,0.8389,0.758,0.776,3767109.9
2025-06-06,0.776,0.8231,0.7685,0.8061,1662574.0
2025-06-07,0.8059,0.8436,0.8026,0.8365,1289276.6
2025-06-08,0.8365,0.848,0.8188,0.8325,924681.8
2025-06-09,0.8326,0.8791,0.8188,0.8757,1473028.3
2025-06-10,0.876,0.908,0.8583,0.8996,2439899.7
2025-06-11,0.8995,0.9296,0.855,0.867,3233375.4
