timestamp,open,high,low,close,volume
2021-07-16,0.5985,0.6195,0.5875,0.5891,4395573.55
2021-07-17,0.5911,0.5975,0.5599,0.5815,4844971.63
2021-07-18,0.5822,0.6013,0.5707,0.5869,3126741.85
2021-07-19,0.5865,0.5883,0.5537,0.5569,5725068.4
2021-07-20,0.5573,0.5691,0.5164,0.5286,8164612.01
2021-07-21,0.5283,0.5836,0.5196,0.5692,6876386.12
2021-07-22,0.5713,0.603,0.561,0.592,5659167.45
2021-07-23,0.5917,0.61,0.5752,0.609,4272102.2
2021-07-24,0.6111,0.6215,0.6001,0.6099,3604791.86
2021-07-25,0.6092,0.6121,0.5909,0.6059,2253176.79
2021-07-26,0.6067,0.6788,0.6055,0.6238,9480130.82
2021-07-27,0.6231,0.6529,0.6127,0.6454,7123272.73
2021-07-28,0.6449,0.7566,0.6308,0.7343,19608162.45
2021-07-29,0.7316,0.7662,0.6981,0.7506,9134376.66
2021-07-30,0.7499,0.7694,0.7115,0.7535,8523349.03
2021-07-31,0.7528,0.7596,0.7375,0.7455,4943161.63
2021-08-01,0.745,0.7779,0.7055,0.7241,5959439.65
2021-08-02,0.7248,0.7735,0.7156,0.7397,6578969.61
2021-08-03,0.7372,0.745,0.7009,0.7136,5293093.61
2021-08-04,0.7137,0.7396,0.6956,0.7319,5591488.84
2021-08-05,0.7318,0.7394,0.701,0.7335,6360720.57
2021-08-06,0.7331,0.7534,0.7221,0.7472,4538713.76
2021-08-07,0.7462,0.8194,0.7417,0.8168,8959221.93
2021-08-08,0.8167,0.841,0.7725,0.7784,7896150.05
2021-08-09,0.7814,0.8281,0.7576,0.819,7448590.7
2021-08-10,0.8164,0.863,0.8004,0.854,9464456.27
2021-08-11,0.8521,1.09,0.848,1.0108,16361859.29
2021-08-12,1.0089,1.0452,0.9231,0.9649,10845953.16
2021-08-13,0.9675,1.097,0.9511,1.09,9273327.4
2021-08-14,1.0906,1.3124,1.0707,1.2803,18324641.62
2021-08-15,1.2809,1.41,1.2251,1.2857,14400518.52
2021-08-16,1.2851,1.3298,1.1386,1.1869,12578490.74
2021-08-17,1.1876,1.223,1.0859,1.0988,10662849.48
2021-08-18,1.1013,1.1964,1.0501,1.1421,12517042.96
2021-08-19,1.148,1.235,1.0906,1.2342,8590883.57
2021-08-20,1.2352,1.289,1.1991,1.2634,8257738.34
2021-08-21,1.2618,1.2841,1.2044,1.2179,5521059.35
2021-08-22,1.2155,1.2574,1.1795,1.228,3924462.09
2021-08-23,1.226,1.3123,1.2062,1.2446,10053461.79
2021-08-24,1.2456,1.2657,1.1232,1.136,11488004.17
2021-08-25,1.1352,1.1784,1.1082,1.1731,6331575.99
2021-08-26,1.1755,1.1865,1.0647,1.0729,6075170.48
2021-08-27,1.0731,1.1927,1.0505,1.1918,9856425.03
2021-08-28,1.193,1.1989,1.134,1.1446,3801146.57
2021-08-29,1.1477,1.1663,1.1136,1.1396,4040274.0
2021-08-30,1.1407,1.1493,1.0955,1.1015,5514534.0
2021-08-31,1.1,1.2427,1.0913,1.1855,9865459.11
2021-09-01,1.1851,1.2384,1.1588,1.2374,5860429.0
2021-09-02,1.2357,1.2967,1.2227,1.2525,6264257.11
2021-09-03,1.253,1.3234,1.2202,1.293,6856483.31
2021-09-04,1.2894,1.2968,1.2324,1.2556,4376834.0
2021-09-05,1.2556,1.3125,1.2365,1.3044,4433999.0
2021-09-06,1.308,1.4159,1.308,1.3905,7798666.47
2021-09-07,1.3905,1.3928,0.9518,1.1275,21304218.97
2021-09-08,1.1303,1.1486,1.0136,1.098,7054103.0
2021-09-09,1.0995,1.1377,1.0722,1.0874,6833352.0
2021-09-10,1.086,1.2454,1.0295,1.055,10760804.0
2021-09-11,1.0557,1.1127,1.051,1.077,3079375.0
2021-09-12,1.0757,1.1272,1.0583,1.1192,4267904.0
2021-09-13,1.1225,1.1259,1.0252,1.0631,7345823.0
2021-09-14,1.0648,1.0969,1.057,1.0969,3481637.0
2021-09-15,1.0956,1.13,1.0792,1.1216,4552805.0
2021-09-16,1.1214,1.13,1.0666,1.0912,4835101.0
2021-09-17,1.0901,1.103,1.0513,1.0652,3203516.0
2021-09-18,1.0661,1.0949,1.0565,1.0766,2843513.0
2021-09-19,1.0731,1.0837,1.0385,1.0468,2617261.0
2021-09-20,1.0486,1.0492,0.8704,0.9197,11656668.99
2021-09-21,0.919,0.9595,0.8572,0.8796,8256852.9
2021-09-22,0.8739,1.0093,0.8674,1.0033,7790932.0
2021-09-23,1.0034,1.0164,0.9685,1.0,5366165.0
2021-09-24,1.0,1.0022,0.8851,0.9449,6952389.0
2021-09-25,0.9449,0.9581,0.9173,0.9403,4259116.0
2021-09-26,0.9397,0.9568,0.8927,0.9445,5170675.0
2021-09-27,0.9429,0.9831,0.92,0.9222,6322345.0
2021-09-28,0.9214,0.9426,0.8918,0.8918,3704415.0
2021-09-29,0.8922,0.993,0.8861,0.9261,5539805.0
2021-09-30,0.9253,0.9642,0.9227,0.9534,4987553.0
2021-10-01,0.9537,1.0699,0.9439,1.0418,8572041.0
2021-10-02,1.0418,1.0727,1.0085,1.0364,5485401.0
2021-10-03,1.0367,1.0926,1.022,1.0547,4452872.0
2021-10-04,1.0555,1.06,1.0066,1.0417,5101291.0
2021-10-05,1.045,1.0876,1.0352,1.0827,4204470.0
2021-10-06,1.0817,1.1084,1.0187,1.0762,4203012.0
2021-10-07,1.0782,1.0941,1.0447,1.067,3981045.0
2021-10-08,1.0703,1.0944,1.0526,1.0632,3949379.0
